"Date and Time Run 1","Time (s) Run 1","Voltage (V) Run 1","Date and Time Run 2","Time (s) Run 2","Voltage (V) Run 2","Date and Time Run 3","Time (s) Run 3","Voltage (V) Run 3","Date and Time Run 4","Time (s) Run 4","Voltage (V) Run 4","Date and Time Run 5","Time (s) Run 5","Voltage (V) Run 5","Date and Time Run 6","Time (s) Run 6","Voltage (V) Run 6","Date and Time Run 7","Time (s) Run 7","Voltage (V) Run 7","Date and Time Run 8","Time (s) Run 8","Voltage (V) Run 8","Date and Time Run 9","Time (s) Run 9","Voltage (V) Run 9","Date and Time Run 10","Time (s) Run 10","Voltage (V) Run 10","Date and Time Run 11","Time (s) Run 11","Voltage (V) Run 11","Date and Time Run 12","Time (s) Run 12","Voltage (V) Run 12","Date and Time Run 13","Time (s) Run 13","Voltage (V) Run 13","Date and Time Run 14","Time (s) Run 14","Voltage (V) Run 14","Date and Time Run 15","Time (s) Run 15","Voltage (V) Run 15","Date and Time Run 16","Time (s) Run 16","Voltage (V) Run 16"
05/13/2024 04:07:53 pm,0.000,0.022,05/13/2024 04:11:10 pm,-1.000,-4.702E-4,05/13/2024 04:11:41 pm,-1.000,-4.702E-4,05/13/2024 04:12:31 pm,-1.000,-0.002,05/13/2024 04:13:24 pm,-1.000,-4.659E-4,05/13/2024 04:14:17 pm,-0.500,-0.001,05/13/2024 04:15:13 pm,-0.500,-0.001,05/13/2024 04:17:20 pm,-0.500,1.553E-4,05/13/2024 04:19:29 pm,-0.500,-4.659E-4,05/13/2024 04:19:37 pm,-0.500,-0.001,05/13/2024 04:21:44 pm,-0.500,-7.766E-4,05/13/2024 04:22:26 pm,-0.500,-0.001,05/13/2024 04:23:22 pm,-0.500,-0.001,05/13/2024 04:23:44 pm,-0.500,-0.002,05/13/2024 04:28:52 pm,-0.500,-6.213E-4,05/13/2024 04:42:55 pm,-0.500,-0.001
05/13/2024 04:07:53 pm,0.001,0.026,05/13/2024 04:11:10 pm,-0.999,-4.702E-4,05/13/2024 04:11:41 pm,-0.999,9.405E-4,05/13/2024 04:12:31 pm,-0.999,-0.001,05/13/2024 04:13:24 pm,-0.999,-4.659E-4,05/13/2024 04:14:17 pm,-0.499,-7.766E-4,05/13/2024 04:15:13 pm,-0.499,-7.766E-4,05/13/2024 04:17:20 pm,-0.499,1.553E-4,05/13/2024 04:19:29 pm,-0.499,-6.213E-4,05/13/2024 04:19:37 pm,-0.499,1.553E-4,05/13/2024 04:21:44 pm,-0.499,-7.766E-4,05/13/2024 04:22:26 pm,-0.499,-0.001,05/13/2024 04:23:22 pm,-0.499,-6.213E-4,05/13/2024 04:23:44 pm,-0.499,-0.003,05/13/2024 04:28:52 pm,-0.499,-1.553E-4,05/13/2024 04:42:55 pm,-0.499,-0.002
05/13/2024 04:07:53 pm,0.002,0.021,05/13/2024 04:11:10 pm,-0.998,9.405E-4,05/13/2024 04:11:41 pm,-0.998,0.000,05/13/2024 04:12:31 pm,-0.998,-0.002,05/13/2024 04:13:24 pm,-0.998,-4.659E-4,05/13/2024 04:14:17 pm,-0.498,-7.766E-4,05/13/2024 04:15:13 pm,-0.498,-7.766E-4,05/13/2024 04:17:20 pm,-0.498,-3.106E-4,05/13/2024 04:19:29 pm,-0.498,-3.106E-4,05/13/2024 04:19:37 pm,-0.498,-0.001,05/13/2024 04:21:44 pm,-0.498,-6.213E-4,05/13/2024 04:22:26 pm,-0.498,-0.001,05/13/2024 04:23:22 pm,-0.498,-0.001,05/13/2024 04:23:44 pm,-0.498,-0.002,05/13/2024 04:28:52 pm,-0.498,-4.659E-4,05/13/2024 04:42:55 pm,-0.498,-0.002
05/13/2024 04:07:53 pm,0.003,0.020,05/13/2024 04:11:10 pm,-0.997,4.702E-4,05/13/2024 04:11:41 pm,-0.997,0.000,05/13/2024 04:12:31 pm,-0.997,-0.001,05/13/2024 04:13:24 pm,-0.997,-6.213E-4,05/13/2024 04:14:17 pm,-0.497,-4.659E-4,05/13/2024 04:15:13 pm,-0.497,-0.001,05/13/2024 04:17:20 pm,-0.497,-4.659E-4,05/13/2024 04:19:29 pm,-0.497,-7.766E-4,05/13/2024 04:19:37 pm,-0.497,-9.319E-4,05/13/2024 04:21:44 pm,-0.497,-1.553E-4,05/13/2024 04:22:26 pm,-0.497,-9.319E-4,05/13/2024 04:23:22 pm,-0.497,-0.001,05/13/2024 04:23:44 pm,-0.497,-0.002,05/13/2024 04:28:52 pm,-0.497,-6.213E-4,05/13/2024 04:42:55 pm,-0.497,-0.001
05/13/2024 04:07:53 pm,0.004,0.021,05/13/2024 04:11:10 pm,-0.996,-4.702E-4,05/13/2024 04:11:41 pm,-0.996,0.000,05/13/2024 04:12:31 pm,-0.996,-0.001,05/13/2024 04:13:24 pm,-0.996,-6.213E-4,05/13/2024 04:14:17 pm,-0.496,-7.766E-4,05/13/2024 04:15:13 pm,-0.496,-7.766E-4,05/13/2024 04:17:20 pm,-0.496,-4.659E-4,05/13/2024 04:19:29 pm,-0.496,-7.766E-4,05/13/2024 04:19:37 pm,-0.496,-0.002,05/13/2024 04:21:44 pm,-0.496,-3.106E-4,05/13/2024 04:22:26 pm,-0.496,-0.001,05/13/2024 04:23:22 pm,-0.496,-0.002,05/13/2024 04:23:44 pm,-0.496,-0.002,05/13/2024 04:28:52 pm,-0.496,-3.106E-4,05/13/2024 04:42:55 pm,-0.496,-0.001
05/13/2024 04:07:53 pm,0.005,0.020,05/13/2024 04:11:10 pm,-0.995,-4.702E-4,05/13/2024 04:11:41 pm,-0.995,-0.001,05/13/2024 04:12:31 pm,-0.995,-9.319E-4,05/13/2024 04:13:24 pm,-0.995,1.553E-4,05/13/2024 04:14:17 pm,-0.495,-7.766E-4,05/13/2024 04:15:13 pm,-0.495,-4.659E-4,05/13/2024 04:17:20 pm,-0.495,-0.001,05/13/2024 04:19:29 pm,-0.495,-7.766E-4,05/13/2024 04:19:37 pm,-0.495,-9.319E-4,05/13/2024 04:21:44 pm,-0.495,-7.766E-4,05/13/2024 04:22:26 pm,-0.495,-0.001,05/13/2024 04:23:22 pm,-0.495,-0.001,05/13/2024 04:23:44 pm,-0.495,-0.002,05/13/2024 04:28:52 pm,-0.495,-7.766E-4,05/13/2024 04:42:55 pm,-0.495,-0.002
05/13/2024 04:07:53 pm,0.006,0.022,05/13/2024 04:11:10 pm,-0.994,-9.405E-4,05/13/2024 04:11:41 pm,-0.994,-4.702E-4,05/13/2024 04:12:31 pm,-0.994,-0.001,05/13/2024 04:13:24 pm,-0.994,-3.106E-4,05/13/2024 04:14:17 pm,-0.494,-3.106E-4,05/13/2024 04:15:13 pm,-0.494,-7.766E-4,05/13/2024 04:17:20 pm,-0.494,-6.213E-4,05/13/2024 04:19:29 pm,-0.494,-1.553E-4,05/13/2024 04:19:37 pm,-0.494,-4.659E-4,05/13/2024 04:21:44 pm,-0.494,4.659E-4,05/13/2024 04:22:26 pm,-0.494,-9.319E-4,05/13/2024 04:23:22 pm,-0.494,-0.002,05/13/2024 04:23:44 pm,-0.494,-0.002,05/13/2024 04:28:52 pm,-0.494,-9.319E-4,05/13/2024 04:42:55 pm,-0.494,-0.001
05/13/2024 04:07:53 pm,0.007,0.022,05/13/2024 04:11:10 pm,-0.993,-4.702E-4,05/13/2024 04:11:41 pm,-0.993,-9.405E-4,05/13/2024 04:12:31 pm,-0.993,-0.001,05/13/2024 04:13:24 pm,-0.993,-3.106E-4,05/13/2024 04:14:17 pm,-0.493,-7.766E-4,05/13/2024 04:15:13 pm,-0.493,-7.766E-4,05/13/2024 04:17:20 pm,-0.493,-0.001,05/13/2024 04:19:29 pm,-0.493,-6.213E-4,05/13/2024 04:19:37 pm,-0.493,-6.213E-4,05/13/2024 04:21:44 pm,-0.493,-3.106E-4,05/13/2024 04:22:26 pm,-0.493,-0.001,05/13/2024 04:23:22 pm,-0.493,-9.319E-4,05/13/2024 04:23:44 pm,-0.493,-0.002,05/13/2024 04:28:52 pm,-0.493,-9.319E-4,05/13/2024 04:42:55 pm,-0.493,-0.001
05/13/2024 04:07:53 pm,0.008,0.020,05/13/2024 04:11:10 pm,-0.992,9.405E-4,05/13/2024 04:11:41 pm,-0.992,0.000,05/13/2024 04:12:31 pm,-0.992,-0.001,05/13/2024 04:13:24 pm,-0.992,-9.319E-4,05/13/2024 04:14:17 pm,-0.492,-4.659E-4,05/13/2024 04:15:13 pm,-0.492,-9.319E-4,05/13/2024 04:17:20 pm,-0.492,-4.659E-4,05/13/2024 04:19:29 pm,-0.492,-0.001,05/13/2024 04:19:37 pm,-0.492,-4.659E-4,05/13/2024 04:21:44 pm,-0.492,-7.766E-4,05/13/2024 04:22:26 pm,-0.492,-0.001,05/13/2024 04:23:22 pm,-0.492,-0.001,05/13/2024 04:23:44 pm,-0.492,-0.002,05/13/2024 04:28:52 pm,-0.492,-0.001,05/13/2024 04:42:55 pm,-0.492,-0.002
05/13/2024 04:07:53 pm,0.009,0.019,05/13/2024 04:11:10 pm,-0.991,0.000,05/13/2024 04:11:41 pm,-0.991,-4.702E-4,05/13/2024 04:12:31 pm,-0.991,-0.001,05/13/2024 04:13:24 pm,-0.991,-7.766E-4,05/13/2024 04:14:17 pm,-0.491,-4.659E-4,05/13/2024 04:15:13 pm,-0.491,-7.766E-4,05/13/2024 04:17:20 pm,-0.491,-4.659E-4,05/13/2024 04:19:29 pm,-0.491,-7.766E-4,05/13/2024 04:19:37 pm,-0.491,-6.213E-4,05/13/2024 04:21:44 pm,-0.491,-4.659E-4,05/13/2024 04:22:26 pm,-0.491,-0.002,05/13/2024 04:23:22 pm,-0.491,-0.001,05/13/2024 04:23:44 pm,-0.491,-0.002,05/13/2024 04:28:52 pm,-0.491,-0.002,05/13/2024 04:42:55 pm,-0.491,-0.002
