"Date and Time Run 4","Time (s) Run 4","Voltage (V) Run 4","Date and Time Run 5","Time (s) Run 5","Voltage (V) Run 5","Date and Time Run 6","Time (s) Run 6","Voltage (V) Run 6","Date and Time Run 7","Time (s) Run 7","Voltage (V) Run 7","Date and Time Run 12","Time (s) Run 12","Voltage (V) Run 12","Date and Time Run 13","Time (s) Run 13","Voltage (V) Run 13","Date and Time Run 14","Time (s) Run 14","Voltage (V) Run 14","Date and Time Run 15","Time (s) Run 15","Voltage (V) Run 15","Date and Time Run 16","Time (s) Run 16","Voltage (V) Run 16","Date and Time Run 17","Time (s) Run 17","Voltage (V) Run 17","Date and Time Run 18","Time (s) Run 18","Voltage (V) Run 18","Date and Time Run 19","Time (s) Run 19","Voltage (V) Run 19","Date and Time Run 20","Time (s) Run 20","Voltage (V) Run 20","Date and Time Run 21","Time (s) Run 21","Voltage (V) Run 21","Date and Time Run 22","Time (s) Run 22","Voltage (V) Run 22"
05/14/2024 10:01:26 am,-0.050,-0.002,05/14/2024 10:01:53 am,-0.050,-6.213E-4,05/14/2024 10:02:18 am,-0.050,-1.553E-4,05/14/2024 10:02:37 am,-0.050,-6.213E-4,05/14/2024 10:07:11 am,-0.050,-0.002,05/14/2024 10:08:49 am,-0.050,-4.659E-4,05/14/2024 10:10:51 am,-0.050,-4.659E-4,05/14/2024 10:11:45 am,-0.050,-0.001,05/14/2024 10:12:15 am,-0.050,-0.001,05/14/2024 10:12:33 am,-0.050,-0.001,05/14/2024 10:12:45 am,-0.050,-0.001,05/14/2024 10:13:04 am,-0.050,-4.659E-4,05/14/2024 10:14:08 am,-0.050,0.000,05/14/2024 10:14:23 am,-0.050,-0.002,05/14/2024 10:14:36 am,-0.050,1.553E-4
05/14/2024 10:01:26 am,-0.049,-0.002,05/14/2024 10:01:53 am,-0.050,-0.001,05/14/2024 10:02:18 am,-0.049,0.000,05/14/2024 10:02:37 am,-0.049,-3.106E-4,05/14/2024 10:07:11 am,-0.049,-0.001,05/14/2024 10:08:49 am,-0.049,-7.766E-4,05/14/2024 10:10:51 am,-0.050,-9.319E-4,05/14/2024 10:11:45 am,-0.049,-0.001,05/14/2024 10:12:15 am,-0.050,-1.553E-4,05/14/2024 10:12:33 am,-0.049,-0.002,05/14/2024 10:12:45 am,-0.049,-1.553E-4,05/14/2024 10:13:04 am,-0.050,-0.002,05/14/2024 10:14:08 am,-0.049,-6.213E-4,05/14/2024 10:14:23 am,-0.049,-6.213E-4,05/14/2024 10:14:36 am,-0.049,3.106E-4
05/14/2024 10:01:26 am,-0.049,-0.002,05/14/2024 10:01:53 am,-0.049,3.106E-4,05/14/2024 10:02:18 am,-0.049,-4.659E-4,05/14/2024 10:02:37 am,-0.049,-6.213E-4,05/14/2024 10:07:11 am,-0.049,-9.319E-4,05/14/2024 10:08:49 am,-0.049,-7.766E-4,05/14/2024 10:10:51 am,-0.049,0.000,05/14/2024 10:11:45 am,-0.049,-4.659E-4,05/14/2024 10:12:15 am,-0.049,-6.213E-4,05/14/2024 10:12:33 am,-0.049,-4.659E-4,05/14/2024 10:12:45 am,-0.049,-9.319E-4,05/14/2024 10:13:04 am,-0.049,0.000,05/14/2024 10:14:08 am,-0.049,-9.319E-4,05/14/2024 10:14:23 am,-0.049,-0.002,05/14/2024 10:14:36 am,-0.049,-0.001
05/14/2024 10:01:26 am,-0.048,-0.002,05/14/2024 10:01:53 am,-0.049,-7.766E-4,05/14/2024 10:02:18 am,-0.048,-4.659E-4,05/14/2024 10:02:37 am,-0.048,-0.001,05/14/2024 10:07:11 am,-0.048,-7.766E-4,05/14/2024 10:08:49 am,-0.048,-7.766E-4,05/14/2024 10:10:51 am,-0.049,-7.766E-4,05/14/2024 10:11:45 am,-0.048,3.106E-4,05/14/2024 10:12:15 am,-0.049,-4.659E-4,05/14/2024 10:12:33 am,-0.048,-6.213E-4,05/14/2024 10:12:45 am,-0.048,-0.001,05/14/2024 10:13:04 am,-0.049,-0.001,05/14/2024 10:14:08 am,-0.048,-7.766E-4,05/14/2024 10:14:23 am,-0.048,4.659E-4,05/14/2024 10:14:36 am,-0.048,3.106E-4
05/14/2024 10:01:26 am,-0.048,-1.553E-4,05/14/2024 10:01:53 am,-0.048,-0.002,05/14/2024 10:02:18 am,-0.048,-1.553E-4,05/14/2024 10:02:37 am,-0.048,-9.319E-4,05/14/2024 10:07:11 am,-0.048,-6.213E-4,05/14/2024 10:08:49 am,-0.048,-1.553E-4,05/14/2024 10:10:51 am,-0.048,-4.659E-4,05/14/2024 10:11:45 am,-0.048,-4.659E-4,05/14/2024 10:12:15 am,-0.048,-7.766E-4,05/14/2024 10:12:33 am,-0.048,-0.003,05/14/2024 10:12:45 am,-0.048,1.553E-4,05/14/2024 10:13:04 am,-0.048,-3.106E-4,05/14/2024 10:14:08 am,-0.048,6.213E-4,05/14/2024 10:14:23 am,-0.048,-9.319E-4,05/14/2024 10:14:36 am,-0.048,-3.106E-4
05/14/2024 10:01:26 am,-0.047,-0.002,05/14/2024 10:01:53 am,-0.048,-4.659E-4,05/14/2024 10:02:18 am,-0.047,-3.106E-4,05/14/2024 10:02:37 am,-0.047,1.553E-4,05/14/2024 10:07:11 am,-0.047,-1.553E-4,05/14/2024 10:08:49 am,-0.047,-0.002,05/14/2024 10:10:51 am,-0.048,-0.001,05/14/2024 10:11:45 am,-0.047,-9.319E-4,05/14/2024 10:12:15 am,-0.048,-3.106E-4,05/14/2024 10:12:33 am,-0.047,-6.213E-4,05/14/2024 10:12:45 am,-0.047,-1.553E-4,05/14/2024 10:13:04 am,-0.048,-0.001,05/14/2024 10:14:08 am,-0.047,-3.106E-4,05/14/2024 10:14:23 am,-0.047,-0.002,05/14/2024 10:14:36 am,-0.047,4.659E-4
05/14/2024 10:01:26 am,-0.047,-0.003,05/14/2024 10:01:53 am,-0.047,-0.001,05/14/2024 10:02:18 am,-0.047,-6.213E-4,05/14/2024 10:02:37 am,-0.047,9.319E-4,05/14/2024 10:07:11 am,-0.047,-0.001,05/14/2024 10:08:49 am,-0.047,1.553E-4,05/14/2024 10:10:51 am,-0.047,1.553E-4,05/14/2024 10:11:45 am,-0.047,1.553E-4,05/14/2024 10:12:15 am,-0.047,-9.319E-4,05/14/2024 10:12:33 am,-0.047,-0.002,05/14/2024 10:12:45 am,-0.047,-1.553E-4,05/14/2024 10:13:04 am,-0.047,-6.213E-4,05/14/2024 10:14:08 am,-0.047,1.553E-4,05/14/2024 10:14:23 am,-0.047,-6.213E-4,05/14/2024 10:14:36 am,-0.047,0.000
05/14/2024 10:01:26 am,-0.046,-0.001,05/14/2024 10:01:53 am,-0.047,4.659E-4,05/14/2024 10:02:18 am,-0.046,-0.001,05/14/2024 10:02:37 am,-0.046,-4.659E-4,05/14/2024 10:07:11 am,-0.046,-9.319E-4,05/14/2024 10:08:49 am,-0.046,-9.319E-4,05/14/2024 10:10:51 am,-0.047,-7.766E-4,05/14/2024 10:11:45 am,-0.046,-0.001,05/14/2024 10:12:15 am,-0.047,-9.319E-4,05/14/2024 10:12:33 am,-0.046,-0.002,05/14/2024 10:12:45 am,-0.046,0.000,05/14/2024 10:13:04 am,-0.047,-4.659E-4,05/14/2024 10:14:08 am,-0.046,-0.001,05/14/2024 10:14:23 am,-0.046,-0.002,05/14/2024 10:14:36 am,-0.046,-0.001
05/14/2024 10:01:26 am,-0.046,-0.003,05/14/2024 10:01:53 am,-0.046,-0.001,05/14/2024 10:02:18 am,-0.046,-1.553E-4,05/14/2024 10:02:37 am,-0.046,-9.319E-4,05/14/2024 10:07:11 am,-0.046,-0.001,05/14/2024 10:08:49 am,-0.046,-4.659E-4,05/14/2024 10:10:51 am,-0.046,-9.319E-4,05/14/2024 10:11:45 am,-0.046,0.000,05/14/2024 10:12:15 am,-0.046,-0.002,05/14/2024 10:12:33 am,-0.046,-4.659E-4,05/14/2024 10:12:45 am,-0.046,0.000,05/14/2024 10:13:04 am,-0.046,-7.766E-4,05/14/2024 10:14:08 am,-0.046,1.553E-4,05/14/2024 10:14:23 am,-0.046,1.553E-4,05/14/2024 10:14:36 am,-0.046,-4.659E-4
05/14/2024 10:01:26 am,-0.045,-0.001,05/14/2024 10:01:53 am,-0.046,-9.319E-4,05/14/2024 10:02:18 am,-0.045,1.553E-4,05/14/2024 10:02:37 am,-0.045,-0.001,05/14/2024 10:07:11 am,-0.045,-1.553E-4,05/14/2024 10:08:49 am,-0.045,-0.001,05/14/2024 10:10:51 am,-0.046,-3.106E-4,05/14/2024 10:11:45 am,-0.045,-9.319E-4,05/14/2024 10:12:15 am,-0.046,-0.002,05/14/2024 10:12:33 am,-0.045,-9.319E-4,05/14/2024 10:12:45 am,-0.045,-3.106E-4,05/14/2024 10:13:04 am,-0.046,-4.659E-4,05/14/2024 10:14:08 am,-0.045,-0.001,05/14/2024 10:14:23 am,-0.045,-0.001,05/14/2024 10:14:36 am,-0.045,1.553E-4
05/14/2024 10:01:26 am,-0.045,-0.002,05/14/2024 10:01:53 am,-0.045,-9.319E-4,05/14/2024 10:02:18 am,-0.045,7.766E-4,05/14/2024 10:02:37 am,-0.045,-3.106E-4,05/14/2024 10:07:11 am,-0.045,-0.001,05/14/2024 10:08:49 am,-0.045,-0.001,05/14/2024 10:10:51 am,-0.045,-4.659E-4,05/14/2024 10:11:45 am,-0.045,-3.106E-4,05/14/2024 10:12:15 am,-0.045,-6.213E-4,05/14/2024 10:12:33 am,-0.045,-0.002,05/14/2024 10:12:45 am,-0.045,-0.001,05/14/2024 10:13:04 am,-0.045,-0.001,05/14/2024 10:14:08 am,-0.045,7.766E-4,05/14/2024 10:14:23 am,-0.045,-0.002,05/14/2024 10:14:36 am,-0.045,1.553E-4
05/14/2024 10:01:26 am,-0.044,-0.002,05/14/2024 10:01:53 am,-0.045,-1.553E-4,05/14/2024 10:02:18 am,-0.044,-3.106E-4,05/14/2024 10:02:37 am,-0.044,-0.001,05/14/2024 10:07:11 am,-0.044,-3.106E-4,05/14/2024 10:08:49 am,-0.044,1.553E-4,05/14/2024 10:10:51 am,-0.045,6.213E-4,05/14/2024 10:11:45 am,-0.044,-1.553E-4,05/14/2024 10:12:15 am,-0.045,0.000,05/14/2024 10:12:33 am,-0.044,-7.766E-4,05/14/2024 10:12:45 am,-0.044,1.553E-4,05/14/2024 10:13:04 am,-0.045,-1.553E-4,05/14/2024 10:14:08 am,-0.044,-1.553E-4,05/14/2024 10:14:23 am,-0.044,-9.319E-4,05/14/2024 10:14:36 am,-0.044,-7.766E-4
05/14/2024 10:01:26 am,-0.044,-0.002,05/14/2024 10:01:53 am,-0.044,-7.766E-4,05/14/2024 10:02:18 am,-0.044,-0.001,05/14/2024 10:02:37 am,-0.044,-4.659E-4,05/14/2024 10:07:11 am,-0.044,-0.001,05/14/2024 10:08:49 am,-0.044,-6.213E-4,05/14/2024 10:10:51 am,-0.044,-0.001,05/14/2024 10:11:45 am,-0.044,-0.001,05/14/2024 10:12:15 am,-0.044,-7.766E-4,05/14/2024 10:12:33 am,-0.044,-0.002,05/14/2024 10:12:45 am,-0.044,-4.659E-4,05/14/2024 10:13:04 am,-0.044,-0.001,05/14/2024 10:14:08 am,-0.044,-9.319E-4,05/14/2024 10:14:23 am,-0.044,-0.001,05/14/2024 10:14:36 am,-0.044,-1.553E-4
05/14/2024 10:01:26 am,-0.043,-4.659E-4,05/14/2024 10:01:53 am,-0.044,0.000,05/14/2024 10:02:18 am,-0.043,-0.001,05/14/2024 10:02:37 am,-0.043,-0.001,05/14/2024 10:07:11 am,-0.043,-3.106E-4,05/14/2024 10:08:49 am,-0.043,-3.106E-4,05/14/2024 10:10:51 am,-0.044,-1.553E-4,05/14/2024 10:11:45 am,-0.043,7.766E-4,05/14/2024 10:12:15 am,-0.044,0.000,05/14/2024 10:12:33 am,-0.043,-4.659E-4,05/14/2024 10:12:45 am,-0.043,0.000,05/14/2024 10:13:04 am,-0.044,-9.319E-4,05/14/2024 10:14:08 am,-0.043,4.659E-4,05/14/2024 10:14:23 am,-0.043,9.319E-4,05/14/2024 10:14:36 am,-0.043,-0.001
